SEXO,ESTADO,SEM_CURSADOS,CREDITOS,APROBO,PONDERADO,BECA_VIGENTE,ESTADO_CIVIL_D,ESTADO_CIVIL_S,FFH,COLEGIO_PRIVADO,CRED_X_SEM,HRS_FALTA_RATIO,EDAD,IDH,POR_POBREZA,POR_POBREZA_EXTREMA,Tasa_Analfabetismo,Tasa_Desempleo2019
0,1,15,238,65,14.33,0,0,1,True,True,16.0,0.12,24.0,0.7622,0.7,0.0,3.1,3.4
0,-1,1,22,2,7.5195,0,0,1,False,False,22.0,0.12,16.0,0.7622,0.7,0.0,3.1,3.4
1,1,19,288,72,12.83,0,0,1,False,True,15.0,0.2,24.0,0.7622,0.7,0.0,3.1,3.4
0,-1,1,22,0,0.0,0,0,1,False,True,22.0,0.62,17.0,0.7622,0.7,0.0,3.1,3.4
0,1,22,314,72,13.6,0,0,1,False,True,14.0,0.2,27.0,0.7622,0.7,0.0,3.1,3.4
0,-1,7,76,20,10.9305,0,0,0,False,False,11.0,0.05,30.0,0.7622,0.7,0.0,3.1,3.4
1,1,20,276,72,14.52,0,0,1,False,True,14.0,0.1,27.0,0.6138,15.7,0.8,9.0,3.4
1,1,13,241,72,17.4,0,0,1,True,True,19.0,0.04,22.0,0.7622,0.7,0.0,3.1,3.4
1,1,15,204,66,13.3,0,0,1,False,True,14.0,0.1,23.0,0.7622,0.7,0.0,3.1,3.4
0,-1,1,17,0,5.6638,0,0,1,False,True,17.0,0.12,17.0,0.7622,0.7,0.0,3.1,3.4
0,1,15,270,73,12.862,0,0,1,False,True,18.0,0.06,25.0,0.7622,0.7,0.0,3.1,3.4
1,-1,1,19,4,10.6921,0,0,1,True,False,19.0,0.18,21.0,0.6456,6.4,0.6,3.1,3.4
0,-1,4,83,7,0.441,0,0,1,False,True,21.0,0.2,18.0,0.7622,0.7,0.0,3.1,3.4
1,-1,1,22,5,11.1948,0,0,1,True,True,22.0,0.06,16.0,0.7622,0.7,0.0,3.1,3.4
